any,districte,seccio,sexe,codi_nivell_estudis,nivell_estudis,data_naixement,codi_municipi_naixement,municipi_pais_naixement,codi_provincia_naixement,provincia_naixement,codi_nacionalitat,nacionalitat,data_alta,codi_municipi_procedencia,municipi_pais_procedencia,codi_provincia_procedencia,provincia_procedencia
2020,1,1,HOME,45,"ARQUITECTE,ENGINYER TÈCNI",2000,79,GIRONA,17,GIRONA,108,ESPAÑA,31/10/1996,92,LLANÇÀ,17,GIRONA
2020,1,2,HOME,11,NI LLEGIR NI ESCRIURE,2000,79,GIRONA,17,GIRONA,108,ESPAÑA,14/08/2000,79,GIRONA,17,GIRONA
2020,1,3,HOME,42,"BATXILLER SUPERIOR, BUP",1987,92,LLANÇÀ,17,GIRONA,108,ESPAÑA,31/10/1996,92,LLANÇÀ,17,GIRONA
2020,1,4,HOME,46,LLICENCIAT O GRAU UNIVER.,1990,79,GIRONA,17,GIRONA,108,ESPAÑA,25/10/2006,172,S. MARTI DE LLEMENA,17,GIRONA
2020,1,4,DONA,42,"BATXILLER SUPERIOR, BUP",1984,340,ARGENTINA,66,EXTRANJERO,115,ITALIA,26/09/2012,79,GIRONA,17,GIRONA
2020,1,5,HOME,42,"BATXILLER SUPERIOR, BUP",1990,147,RIPOLL,17,GIRONA,108,ESPAÑA,05/07/2013,88,GARRIGA (LA),8,BARCELONA
2020,1,5,DONA,46,LLICENCIAT O GRAU UNIVER.,1988,342,BRASIL,66,EXTRANJERO,342,BRASIL,20/03/2012,342,BRASIL,66,EXTRANJERO
2020,2,1,HOME,42,"BATXILLER SUPERIOR, BUP",1982,351,VENEZUELA,66,EXTRANJERO,108,ESPAÑA,18/09/2008,22,<20,38,SANTA CRUZ DE TENERIFE
2020,2,1,HOME,42,"BATXILLER SUPERIOR, BUP",1985,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO,302,ESTADOS UNIDOS DE AMÉRICA,22/06/2009,302,ESTADOS UNIDOS DE AMÉRICA,66,EXTRANJERO
2020,2,1,HOME,45,"ARQUITECTE,ENGINYER TÈCNI",1944,79,GIRONA,17,GIRONA,108,ESPAÑA,16/06/2004,67,FLAÇÀ,17,GIRONA
2020,2,2,DONA,46,LLICENCIAT O GRAU UNIVER.,1986,303,MÉXICO,66,EXTRANJERO,303,MÉXICO,30/09/2013,303,MÉXICO,66,EXTRANJERO
2020,2,3,HOME,31,"BATX. ELEM., GRADUAT, ESO",1978,79,GIRONA,17,GIRONA,108,ESPAÑA,30/09/2013,49,CELRÀ,17,GIRONA
2020,3,1,HOME,46,LLICENCIAT O GRAU UNIVER.,1970,19,BARCELONA,8,BARCELONA,108,ESPAÑA,25/11/2003,19,BARCELONA,8,BARCELONA
2020,3,1,HOME,47,TÍTOL SUP NO UNIVERSITARI,1988,19,BARCELONA,8,BARCELONA,108,ESPAÑA,16/09/2013,3,<20,8,BARCELONA
2020,3,2,DONA,22,PRIMÀRIA INCOMPLETA,1926,50,CERVIA DE TER,17,GIRONA,108,ESPAÑA,01/05/1996,50,CERVIA DE TER,17,GIRONA
2020,3,3,DONA,32,FORMACIÓ PROFESS 1ER GRAU,1977,91,SEVILLA,41,SEVILLA,108,ESPAÑA,04/01/2005,903,<20,41,SEVILLA
2020,3,4,HOME,46,LLICENCIAT O GRAU UNIVER.,1981,148,TARRAGONA,43,TARRAGONA,108,ESPAÑA,23/06/2010,148,TARRAGONA,43,TARRAGONA
2020,3,4,HOME,46,LLICENCIAT O GRAU UNIVER.,1977,24,LORCA,30,MURCIA,108,ESPAÑA,25/08/2010,297,ZARAGOZA,50,ZARAGOZA
2020,4,1,HOME,31,"BATX. ELEM., GRADUAT, ESO",1936,208,<20,44,TERUEL,112,HUNGRIA,21/12/2010,208,<20,44,TERUEL
2020,4,2,HOME,48,DOCTORAT I POST-GRAU,1945,165,<20,43,TARRAGONA,108,ESPAÑA,23/12/2010,19,BARCELONA,8,BARCELONA
2020,4,2,HOME,46,LLICENCIAT O GRAU UNIVER.,1940,<20,<20,34,PALENCIA,108,ESPAÑA,21/01/2008,297,ZARAGOZA,50,ZARAGOZA
2020,4,2,HOME,46,LLICENCIAT O GRAU UNIVER.,1932,45,<20,28,MADRID,108,ESPAÑA,30/11/2011,<20,<20,46,VALÈNCIA
2020,4,3,DONA,42,"BATXILLER SUPERIOR, BUP",1933,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,5,1,DONA,42,"BATXILLER SUPERIOR, BUP",1931,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,5,1,HOME,45,"ARQUITECTE,ENGINYER TÈCNI",1960,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,5,1,HOME,22,PRIMÀRIA INCOMPLETA,1929,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,5,1,DONA,22,PRIMÀRIA INCOMPLETA,1934,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,5,2,DONA,44,DIPLOMAT ESCOLA UNIVERS.,1984,79,GIRONA,17,GIRONA,108,ESPAÑA,29/11/2013,57,CORÇÀ,17,GIRONA
2020,5,2,HOME,21,SENSE ESTUDIS,2012,57,CORÇÀ,17,GIRONA,108,ESPAÑA,29/11/2013,57,CORÇÀ,17,GIRONA
2020,5,3,DONA,42,"BATXILLER SUPERIOR, BUP",1977,19,BARCELONA,8,BARCELONA,108,ESPAÑA,06/06/2007,14,<20,17,GIRONA
2020,5,4,DONA,11,NI LLEGIR NI ESCRIURE,2013,79,GIRONA,17,GIRONA,108,ESPAÑA,30/09/2013,79,GIRONA,17,GIRONA
2020,6,1,HOME,48,DOCTORAT I POST-GRAU,1981,19,BARCELONA,8,BARCELONA,108,ESPAÑA,18/11/2010,6,ARENYS DE MAR,8,BARCELONA
2020,6,1,HOME,11,NI LLEGIR NI ESCRIURE,2011,79,GIRONA,17,GIRONA,108,ESPAÑA,09/06/2011,79,GIRONA,17,GIRONA
2020,6,2,HOME,11,NI LLEGIR NI ESCRIURE,1992,79,GIRONA,17,GIRONA,108,ESPAÑA,19/09/1996,79,GIRONA,17,GIRONA
2020,6,2,HOME,42,"BATXILLER SUPERIOR, BUP",1981,228,MARRUECOS,66,EXTRANJERO,228,MARRUECOS,04/01/2007,124,MOLLET DEL VALLES,8,BARCELONA
2020,6,3,DONA,42,"BATXILLER SUPERIOR, BUP",1992,79,GIRONA,17,GIRONA,108,ESPAÑA,18/04/2013,25,BORDILS,17,GIRONA
2020,6,3,HOME,42,"BATXILLER SUPERIOR, BUP",1966,187,SABADELL,8,BARCELONA,108,ESPAÑA,07/05/1998,19,BARCELONA,8,BARCELONA
2020,6,4,HOME,31,"BATX. ELEM., GRADUAT, ESO",1963,116,OSOR,17,GIRONA,108,ESPAÑA,07/05/1998,155,SALT,17,GIRONA
2020,6,5,DONA,44,DIPLOMAT ESCOLA UNIVERS.,1986,89,LLAGOSTERA,17,GIRONA,108,ESPAÑA,22/10/2009,89,LLAGOSTERA,17,GIRONA
2020,6,5,DONA,31,"BATX. ELEM., GRADUAT, ESO",1927,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,6,5,DONA,32,FORMACIÓ PROFESS 1ER GRAU,1931,7,AMER,17,GIRONA,108,ESPAÑA,01/05/1996,7,AMER,17,GIRONA
2020,6,6,HOME,46,LLICENCIAT O GRAU UNIVER.,1960,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,6,HOME,22,PRIMÀRIA INCOMPLETA,2001,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,6,DONA,46,LLICENCIAT O GRAU UNIVER.,1963,55,PRIEGO DE CORDOBA,14,CÓRDOBA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,7,DONA,31,"BATX. ELEM., GRADUAT, ESO",1995,298,VIC,8,BARCELONA,108,ESPAÑA,04/03/2010,278,TARADELL,8,BARCELONA
2020,6,7,DONA,42,"BATXILLER SUPERIOR, BUP",1971,79,GIRONA,17,GIRONA,108,ESPAÑA,01/05/1996,79,GIRONA,17,GIRONA
2020,6,7,HOME,11,NI LLEGIR NI ESCRIURE,2001,79,GIRONA,17,GIRONA,108,ESPAÑA,24/01/2001,79,GIRONA,17,GIRONA
2020,6,7,DONA,11,NI LLEGIR NI ESCRIURE,2002,79,GIRONA,17,GIRONA,108,ESPAÑA,10/04/2002,79,GIRONA,17,GIRONA
